"","internal.gene_id","Chr","Start","End","Strand","Length","vectorbase.RU","flybase.fbpp.collapsed","flybase.fbgn.collapsed","flybase.annot.collapsed","flybase.gene.collapsed","orthodb.collapsed","display.name","gene.family","gene.family.specific"
"gene10083","gene10083","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1279511;1297334;1297581;1298013;1298551;1300518","1280498;1297476;1297961;1298520;1298749;1300639","-;-;-;-;-;-",2341,"AAEL006346","FBpp0075353","FBgn0036505","CG7945","CG7945","EOG8G4KGW","","",""
"gene10084","gene10084","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1244442;1244878;1245283;1245450;1245598","1244817;1245226;1245388;1245522;1245885","+;+;+;+;+",1192,"AAEL006359",NA,NA,NA,NA,NA,"","",""
"gene10085","gene10085","supercont1.201;supercont1.201;supercont1.201","221091;222413;222796","222333;222740;223362","+;+;+",2138,"AAEL006333",NA,NA,NA,NA,NA,"","",""
"gene10086","gene10086","supercont1.201;supercont1.201;supercont1.201","1561067;1561198;1561593","1561139;1561395;1562806","+;+;+",1485,"AAEL006361","FBpp0077156-FBpp0077249-FBpp0087112-FBpp0077155","FBgn0014033-FBgn0031547-FBgn0020377-FBgn0020376","CG4099-CG3212-CG8856-CG31962","Sr-CI-Sr-CIV-Sr-CII-Sr-CIII","EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S","","",""
"gene10087","gene10087","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1270969;1277405;1277777;1277945;1279186","1270982;1277708;1277881;1278857;1281628","+;+;+;+;+",3779,"AAEL006356","FBpp0075348","FBgn0261109","CG7764","mrn","EOG81G5VT","","",""
"gene10088","gene10088","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1483834;1495602;1495835;1496035","1485797;1495770;1495974;1496353","+;+;+;+",2592,"AAEL006342",NA,NA,NA,NA,NA,"","",""
"gene10089","gene10089","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1183279;1212772;1226089;1226794","1184062;1213625;1226736;1228204","+;+;+;+",3697,"AAEL006341","FBpp0075408","FBgn0036481","CG16959","CG16959","EOG8P2SSW","","",""
"gene1009","gene1009","supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219","1549910;1550098;1550878;1551111;1551457;1571629","1550020;1550338;1551049;1551404;1551595;1574819","-;-;-;-;-;-",4148,"AAEL006753","FBpp0087273","FBgn0033610","CG18335","CG18335","EOG8030JN","","",""
"gene10090","gene10090","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1550504;1559076;1559473;1560286","1550690;1559411;1560108;1560878","+;+;+;+",1752,"AAEL006355","FBpp0077156-FBpp0087112-FBpp0077155-FBpp0077249","FBgn0014033-FBgn0020377-FBgn0020376-FBgn0031547","CG4099-CG8856-CG31962-CG3212","Sr-CI-Sr-CII-Sr-CIII-Sr-CIV","EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S-EOG81ZJ2S","","",""
"gene10091","gene10091","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1563264;1573461;1574557;1574870;1575079","1563302;1574223;1574811;1575019;1575699","+;+;+;+;+",1828,"AAEL006337","FBpp0075316","FBgn0036512","CG16979","CG16979","EOG8FBMJ3","","",""
"gene10092","gene10092","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1609947;1618261;1618547;1618847","1610426;1618485;1618785;1620165","+;+;+;+",2263,"AAEL006336",NA,NA,NA,NA,NA,"","",""
"gene10093","gene10093","supercont1.201;supercont1.201","1334377;1346494","1335048;1348152","-;-",2331,"AAEL006343","FBpp0075349","FBgn0036509","CG7739","CG7739","EOG85TGCP","","",""
"gene10094","gene10094","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1161496;1163247;1163765;1171257;1228210;1228398;1264910;1270270;1270591","1162660;1163353;1163918;1171382;1228325;1229846;1265103;1270528;1270885","-;-;-;-;-;-;-;-;-",3865,"AAEL006340","FBpp0292437","FBgn0036480","CG17081","Cep135","EOG8SFCXV","","",""
"gene10095","gene10095","supercont1.201;supercont1.201","1458324;1459301","1459241;1460188","+;+",1806,"AAEL006354",NA,NA,NA,NA,NA,"","",""
"gene10096","gene10096","supercont1.201;supercont1.201","1142719;1144176","1144110;1144470","-;-",1687,"AAEL006326","FBpp0074836-FBpp0074815-FBpp0075602","FBgn0036831-FBgn0036833-FBgn0036321","CG6839-CG3819-CG14120","CG6839-CG3819-CG14120","EOG864338-EOG864338-EOG864338","","",""
"gene10097","gene10097","supercont1.201;supercont1.201","1240589;1241352","1241295;1242142","+;+",1498,"AAEL006344",NA,NA,NA,NA,NA,"","",""
"gene10098","gene10098","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1255048;1255445;1255956;1256104","1255385;1255899;1256049;1256445","+;+;+;+",1229,"AAEL006334",NA,NA,NA,NA,NA,"","",""
"gene10099","gene10099","supercont1.201;supercont1.201","1308245;1309550","1309490;1310594","-;-",2291,"AAEL006329","FBpp0075310","FBgn0036504","CG7463","yellow-k","EOG8G7FQH","","",""
"gene101","gene101","supercont1.355;supercont1.355;supercont1.355;supercont1.355;supercont1.355","803147;803558;806517;828079;841093","803284;803678;806804;828367;841111","-;-;-;-;-",855,"AAEL008892",NA,NA,NA,NA,NA,"","",""
"gene1010","gene1010","supercont1.219;supercont1.219","1610722;1611097","1611036;1611325","-;-",544,"AAEL006722","FBpp0082885","FBgn0000564","CG5400","Eh","EOG8SXR5Q","Eclosion hormone (EH)","neuropeptide","neuropeptide"
"gene10100","gene10100","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1459301;1460665;1467057;1468259","1460583;1461035;1467385;1469131","-;-;-;-",2856,"AAEL006350","FBpp0074587","FBgn0036936","CG14185","CG14185","EOG805VS0","","",""
"gene10101","gene10101","supercont1.201","497078","497563","-",486,"AAEL006358",NA,NA,NA,NA,NA,"","",""
"gene10102","gene10102","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1357181;1357863;1357979;1377756;1399977;1400198","1357797;1357919;1358999;1379565;1400134;1412024","+;+;+;+;+;+",15490,"AAEL018118","FBpp0081255-FBpp0081549","FBgn0002542-FBgn0037712","CG2684-CG16789","lds-CG16789","EOG8M3D0W-EOG8M3D0W","","",""
"gene10103","gene10103","supercont1.201;supercont1.201;supercont1.201","1238246;1238960;1239478","1238903;1239417;1239702","+;+;+",1341,"AAEL006353",NA,NA,NA,NA,NA,"","",""
"gene10104","gene10104","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1634300;1634868;1635262;1635683","1634813;1635202;1635618;1636979","+;+;+;+",2503,"AAEL006349",NA,NA,NA,NA,NA,"","",""
"gene10105","gene10105","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1517276;1534117;1534915;1535271;1547187","1517999;1534366;1535154;1535445;1547336","+;+;+;+;+",1539,"AAEL006352","FBpp0074639","FBgn0036935","CG14186","CG14186","EOG8ZW82W","","",""
"gene10106","gene10106","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","425711;425912;426113;426334;426524;426779;427175;427434;427640;428033;428221","425845;426058;426275;426465;426717;427114;427368;427584;427969;428147;428948","+;+;+;+;+;+;+;+;+;+;+",2625,"AAEL006335","FBpp0082634","FBgn0038366","CG4576","CG4576","EOG89KJG3","","",""
"gene10107","gene10107","supercont1.201;supercont1.201;supercont1.201;supercont1.201","1253037;1253464;1253993;1254127","1253404;1253918;1254068;1254485","+;+;+;+",1258,"AAEL006338",NA,NA,NA,NA,NA,"","",""
"gene10108","gene10108","supercont1.201;supercont1.201","1151157;1152358","1152304;1152607","-;-",1398,"AAEL006348","FBpp0074815-FBpp0074836-FBpp0075602","FBgn0036833-FBgn0036831-FBgn0036321","CG3819-CG6839-CG14120","CG3819-CG6839-CG14120","EOG864338-EOG864338-EOG864338","","",""
"gene10109","gene10109","supercont1.201;supercont1.201;supercont1.201;supercont1.201;supercont1.201","1257193;1261468;1261709;1262106;1264366","1261400;1261647;1262048;1262299;1264613","+;+;+;+;+",5170,"AAEL006327",NA,NA,NA,NA,NA,"","",""
"gene1011","gene1011","supercont1.219;supercont1.219;supercont1.219","932755;938218;950498","933190;938361;950509","-;-;-",592,"AAEL006729",NA,NA,NA,NA,NA,"","",""
"gene10110","gene10110","supercont1.201;supercont1.201","299666;300997","300938;301378","-;-",1655,"AAEL006351",NA,NA,NA,NA,NA,"","",""
"gene10111","gene10111","supercont1.201;supercont1.201;supercont1.201;supercont1.201","3384;3699;4206;4676","3442;3851;4304;5343","-;-;-;-",979,"AAEL006345","FBpp0077499-FBpp0288403-FBpp0087602-FBpp0073393","FBgn0026396-FBgn0026394-FBgn0033422-NA","CG15377-CG11767-CG12931-NA","Or22c-Or24a-Or45b-NA","EOG89368S-EOG89368S-EOG89368S-EOG89368S","AaegOr39","OR","OR"
"gene10112","gene10112","supercont1.221;supercont1.221","309178;309455","309392;311005","+;+",1766,"AAEL006815","FBpp0088126-FBpp0088127-FBpp0082070","FBgn0015039-FBgn0015038-FBgn0038037","CG4486-CG4485-CG11466","Cyp9b2-Cyp9b1-Cyp9f2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10113","gene10113","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","1507500;1514975;1518307;1534468;1535126;1543369;1544821;1553623;1599997;1613196;1613492;1632896","1507715;1518239;1518458;1535063;1536040;1543500;1545035;1554162;1601804;1613400;1613589;1633911","-;-;-;-;-;-;-;-;-;-;-;-",9158,"AAEL006791","FBpp0291301","FBgn0261261","CG42612","plx","EOG873SGH","","",""
"gene10114","gene10114","supercont1.221;supercont1.221;supercont1.221","1486159;1497578;1497759","1487930;1497699;1498292","-;-;-",2428,"AAEL006816",NA,NA,NA,NA,NA,"","",""
"gene10115","gene10115","supercont1.221;supercont1.221","534360;535029","534966;537010","-;-",2589,"AAEL017984","FBpp0292199","FBgn0261698","CG42732","CG42732","EOG8V726T","","",""
"gene10116","gene10116","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","92337;99385;112830;113549;114164;114760","93131;101726;113404;113827;114649;115896","+;+;+;+;+;+",5614,"AAEL006790",NA,NA,NA,NA,NA,"","",""
"gene10117","gene10117","supercont1.221;supercont1.221","399754;401064","401001;402524","+;+",2709,"AAEL006814","FBpp0088127-FBpp0088126-FBpp0082070","FBgn0015038-FBgn0015039-FBgn0038037","CG4485-CG4486-CG11466","Cyp9b1-Cyp9b2-Cyp9f2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10118","gene10118","supercont1.221;supercont1.221;supercont1.221;supercont1.221","1367696;1381758;1387837;1390668","1368126;1381937;1388842;1391059","+;+;+;+",2009,"AAEL006812",NA,NA,NA,NA,NA,"","",""
"gene10119","gene10119","supercont1.221;supercont1.221","330746;332809","332745;333296","-;-",2488,"AAEL006805","FBpp0088127-FBpp0088126-FBpp0082070","FBgn0015038-FBgn0015039-FBgn0038037","CG4485-CG4486-CG11466","Cyp9b1-Cyp9b2-Cyp9f2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene1012","gene1012","supercont1.219;supercont1.219;supercont1.219","520162;520640;530149","520445;521558;531450","+;+;+",2505,"AAEL006744","FBpp0076685","FBgn0035707","CG8368","CG8368","EOG8GQSWJ","","",""
"gene10120","gene10120","supercont1.221;supercont1.221;supercont1.221","1499644;1501281;1508365","1500280;1502370;1510118","+;+;+",3481,"AAEL006782","FBpp0081628","FBgn0037770","CG5358","Art4","EOG8PK50D","","",""
"gene10121","gene10121","supercont1.221;supercont1.221","373452;373729","373667;375141","+;+",1629,"AAEL006798","FBpp0088126-FBpp0082070-FBpp0088127","FBgn0015039-FBgn0038037-FBgn0015038","CG4486-CG11466-CG4485","Cyp9b2-Cyp9f2-Cyp9b1","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10122","gene10122","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","817603;834788;846753;916036;951875;959320;1149146;1149536;1174619;1176988;1177186;1177460;1179945;1181570;1181852;1182098;1205397;1205645","817846;835136;847182;916886;952058;959522;1149260;1149680;1174918;1177123;1177397;1177955;1180100;1181744;1182001;1182290;1205571;1206758","+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+",5628,"AAEL018123","FBpp0082641","FBgn0051183","CG31183","CG31183","EOG8PZMXV","","",""
"gene10123","gene10123","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","1216187;1225175;1247151;1257117;1263624;1275646;1276948;1277179;1287918","1217238;1225990;1248139;1257508;1267408;1276310;1277112;1279668;1292718","+;+;+;+;+;+;+;+;+",15155,"AAEL006783","FBpp0292801","FBgn0264495","CG42803","gpp","EOG8MD0QK","","",""
"gene10124","gene10124","supercont1.221;supercont1.221","351924;352199","352139;353901","+;+",1919,"AAEL006793","FBpp0088126-FBpp0082070-FBpp0088127","FBgn0015039-FBgn0038037-FBgn0015038","CG4486-CG11466-CG4485","Cyp9b2-Cyp9f2-Cyp9b1","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10125","gene10125","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","206900;207837;224179;224420;225130;225516;225835;234834;246370","207119;208321;224356;225071;225452;225770;226282;235506;249358","+;+;+;+;+;+;+;+;+",6223,"AAEL006794","FBpp0086061","FBgn0034246","CG6493","Dcr-2","EOG86MF8T","","",""
"gene10126","gene10126","supercont1.221;supercont1.221","390698;390966","390907;392448","+;+",1693,"AAEL006811","FBpp0082070-FBpp0088127-FBpp0088126","FBgn0038037-FBgn0015038-FBgn0015039","CG11466-CG4485-CG4486","Cyp9f2-Cyp9b1-Cyp9b2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10127","gene10127","supercont1.221;supercont1.221;supercont1.221;supercont1.221","143322;144395;153165;154472","144332;145655;153402;154730","-;-;-;-",2769,"AAEL006808","FBpp0072227","FBgn0035039","CG3608","CG3608","EOG81RSKN","","",""
"gene10128","gene10128","supercont1.221;supercont1.221","317582;319184","319122;319740","-;-",2098,"AAEL006784","FBpp0082070-FBpp0088127-FBpp0088126","FBgn0038037-FBgn0015038-FBgn0015039","CG11466-CG4485-CG4486","Cyp9f2-Cyp9b1-Cyp9b2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10129","gene10129","supercont1.221;supercont1.221;supercont1.221;supercont1.221","277434;298852;299700;300992","277470;299333;300925;301202","+;+;+;+",1956,"AAEL006795","FBpp0082070-FBpp0088127-FBpp0088126","FBgn0038037-FBgn0015038-FBgn0015039","CG11466-CG4485-CG4486","Cyp9f2-Cyp9b1-Cyp9b2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene1013","gene1013","supercont1.219","213565","214909","+",1345,"AAEL006748","FBpp0087648","FBgn0033378","CG8781","tsu","EOG81RSMQ","","",""
"gene10130","gene10130","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","260423;261693;262380;275905;277196;289653","261484;262311;262883;277109;277598;290448","-;-;-;-;-;-",4589,"AAEL006800","FBpp0086433","FBgn0034049","CG8291","bdg","EOG8R52T2","","",""
"gene10131","gene10131","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","33230;35732;49830;50126;50382;51459;59849","33760;35818;49895;50314;51372;51604;61906","+;+;+;+;+;+;+",4068,"AAEL006792","FBpp0086621",NA,NA,NA,"EOG8VT8P7","","",""
"gene10132","gene10132","supercont1.221;supercont1.221","1509709;1512614","1509835;1512663","-;-",177,"AAEL017112",NA,NA,NA,NA,NA,"","",""
"gene10133","gene10133","supercont1.221;supercont1.221;supercont1.221;supercont1.221","1665167;1668941;1690193;1690520","1666721;1673514;1690441;1691389","+;+;+;+",7248,"AAEL006786","FBpp0293883","FBgn0014380","CG9366","RhoL","EOG8XH2RP","","",""
"gene10134","gene10134","supercont1.221;supercont1.221","414882;415210","415147;416825","+;+",1882,"AAEL006802","FBpp0088127-FBpp0082070-FBpp0088126","FBgn0015038-FBgn0038037-FBgn0015039","CG4485-CG11466-CG4486","Cyp9b1-Cyp9f2-Cyp9b2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10135","gene10135","supercont1.221;supercont1.221","70679;78849","70930;79787","-;-",1191,"AAEL006785","FBpp0086103","FBgn0010409","CG6510","RpL18A","EOG8W6RNM","","",""
"gene10136","gene10136","supercont1.221;supercont1.221","182614;193269","193135;193585","-;-",10839,"AAEL006801","FBpp0303474","FBgn0015838","CG8075","Vang","EOG8R26KM","","",""
"gene10137","gene10137","supercont1.221;supercont1.221;supercont1.221","1355222;1362250;1362488","1361708;1362424;1362920","+;+;+",7095,"AAEL006799","FBpp0087646","FBgn0033376","CG8777","CG8777","EOG8N33D4","","",""
"gene10138","gene10138","supercont1.221;supercont1.221;supercont1.221","1340663;1343801;1350425","1341211;1344077;1350978","-;-;-",1380,"AAEL006787","FBpp0078369","FBgn0037368","CG1239","CG1239","EOG8258K3","","",""
"gene10139","gene10139","supercont1.221;supercont1.221;supercont1.221;supercont1.221","1307845;1313444;1319695;1321535","1308538;1314280;1320341;1323931","+;+;+;+",4575,"AAEL018124","FBpp0085445","FBgn0013732","CG3273","sced","EOG8FBMJ9","","",""
"gene1014","gene1014","supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219;supercont1.219","173107;185392;185620;185951;201696;203580","180165;185558;185774;187307;203400;203851","-;-;-;-;-;-",10715,"AAEL006717","FBpp0072637","FBgn0035244","CG7955","ABCB7","EOG89CSZX","","",""
"gene10140","gene10140","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","1391969;1393152;1393372;1393712;1407562;1407836;1408112;1446116;1447084;1448110;1448327;1448743;1456026","1393085;1393311;1393645;1393935;1407779;1408030;1409162;1447023;1448051;1448258;1448679;1449331;1456725","-;-;-;-;-;-;-;-;-;-;-;-;-",6906,"AAEL006809","FBpp0311138","FBgn0002917","CG1517","na","EOG8NP9TM","","",""
"gene10141","gene10141","supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221;supercont1.221","562738;563617;563881;564203;602579;651902;701578;780164","563550;563796;564141;564624;603515;652097;701614;781542","-;-;-;-;-;-;-;-",4225,"AAEL006797","FBpp0082655","FBgn0038385","CG4221","Fbxl7","EOG8FJC16","","",""
"gene10142","gene10142","supercont1.221;supercont1.221;supercont1.221","1717213;1717436;1718618","1717369;1718594;1719121","-;-;-",1820,"AAEL006788","FBpp0074246","FBgn0030871","CG8142","CG8142","EOG8TF3BD","","",""
"gene10143","gene10143","supercont1.221;supercont1.221;supercont1.221","1725384;1725582;1725814","1725515;1725747;1726550","+;+;+",1035,"AAEL006789","FBpp0074237","FBgn0000617","CG6474","e(y)1","EOG8TQQ2J","","",""
"gene10144","gene10144","supercont1.221;supercont1.221;supercont1.221","403766;403933;404224","403785;404163;405616","+;+;+",1644,"AAEL018030","FBpp0088127-FBpp0088126-FBpp0082070","FBgn0015038-FBgn0015039-FBgn0038037","CG4485-CG4486-CG11466","Cyp9b1-Cyp9b2-Cyp9f2","EOG85MQX1-EOG85MQX1-EOG85MQX1","","",""
"gene10145","gene10145","supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265","1070360;1089608;1090275;1101499;1102138;1114056","1071425;1090194;1091006;1102062;1103142;1114177","-;-;-;-;-;-",4076,"AAEL007594","FBpp0083753","FBgn0039044","CG33336","p53","EOG8BCHD1","","",""
"gene10146","gene10146","supercont1.265","1323170","1324500","+",1331,"AAEL007590",NA,NA,NA,NA,NA,"","",""
"gene10147","gene10147","supercont1.265;supercont1.265","72841;73021","72951;73558","+;+",649,"AAEL007592",NA,NA,NA,NA,NA,"","",""
"gene10148","gene10148","supercont1.265;supercont1.265;supercont1.265;supercont1.265","971187;971363;971752;972247","971286;971657;972185;972730","+;+;+;+",1313,"AAEL007588",NA,NA,NA,NA,NA,"","",""
"gene10149","gene10149","supercont1.265;supercont1.265;supercont1.265","538936;539591;542672","539543;540180;542777","-;-;-",1304,"AAEL007587",NA,NA,NA,NA,NA,"","",""
"gene1015","gene1015","supercont1.219;supercont1.219;supercont1.219","1480950;1481377;1481713","1481141;1481640;1491403","+;+;+",10147,"AAEL006740","FBpp0083856","FBgn0039113","CG10217","CG10217","EOG83FKND","","",""
"gene10150","gene10150","supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265;supercont1.265","661208;683685;683944;684276;684595;685067;685353;685681;686000","662044;683879;684214;684538;685064;685294;685620;685943;686351","+;+;+;+;+;+;+;+;+",3147,"AAEL007597","FBpp0082184","FBgn0003450","CG7996","snk","EOG89368V","","",""
"gene10151","gene10151","supercont1.265;supercont1.265;supercont1.265","646889;647220;647810","647153;647750;649315","+;+;+",2302,"AAEL007596",NA,NA,NA,NA,NA,"","",""
